entry_date,exit_date,symbol,spread_type,direction,entry_price,exit_price,entry_vix,exit_vix,position_size,pnl_pct,pnl_dollar,hold_days,exit_reason,vrp_at_entry,regime_at_entry,size_multiplier
2024-10-22 04:00:00,2024-10-31 04:00:00,SPY,bull_put,long,583.32,568.64,18.2,23.16,197.75017849748178,-0.3,-59.32505354924453,9,stop_loss,0.09243954894668084,NEUTRAL,1.0
2024-11-05 05:00:00,2024-11-06 05:00:00,SPY,bull_put,long,576.7,591.04,20.49,16.27,199.79205608658137,0.3,59.93761682597441,1,take_profit,0.09496600927662228,NEUTRAL,1.0
2024-11-12 05:00:00,2024-11-15 05:00:00,SPY,bull_put,long,596.9,585.75,14.71,16.14,120.59448505386052,-0.3,-36.17834551615815,3,stop_loss,0.012684475446403942,NEUTRAL,0.6
2024-11-19 05:00:00,2024-11-25 05:00:00,SPY,bull_put,long,590.3,597.53,16.35,14.6,120.16034490766663,0.21013665606199353,25.250093070152857,6,take_profit,0.017930181730625994,NEUTRAL,0.6
2024-11-29 05:00:00,2024-12-06 05:00:00,SPY,bull_put,long,602.55,607.81,13.51,12.77,120.46334602450847,0.15860833102541416,19.106490262684247,7,take_profit,0.016215658621128365,NEUTRAL,0.6
2024-12-16 05:00:00,2024-12-18 05:00:00,SPY,bull_put,long,606.79,586.28,14.69,27.62,197.13128571584582,-0.3,-59.13938571475374,2,stop_loss,0.08580637728213336,NEUTRAL,1.0
2024-12-09 05:00:00,2024-12-18 05:00:00,SPY,bull_put,long,604.68,586.28,14.19,27.62,201.15437317943451,-0.3,-60.34631195383035,9,stop_loss,0.0654925711234684,NEUTRAL,1.0
2024-12-23 05:00:00,2024-12-24 05:00:00,SPY,bull_put,long,594.69,601.3,16.78,14.27,119.25879553563767,0.17705674851157158,21.115574568946336,1,take_profit,0.03694640886802264,NEUTRAL,0.6
2024-12-31 05:00:00,2025-01-03 05:00:00,SPY,bull_put,long,586.08,591.95,17.35,16.13,199.18697071744174,0.16419972786514586,32.70644638608671,3,take_profit,0.030681504308140234,NEUTRAL,1.0
2025-01-08 05:00:00,2025-01-10 05:00:00,SPY,bull_put,long,589.49,580.49,17.7,19.54,119.9046597870981,-0.3,-35.97139793612943,2,stop_loss,0.022364066439397506,NEUTRAL,0.6
2025-01-21 05:00:00,2025-01-23 05:00:00,SPY,bull_put,long,603.05,609.75,15.06,15.02,119.47300301186453,0.17385284802255316,20.77072183541972,2,take_profit,0.008239748636407473,NEUTRAL,0.6
2025-01-28 05:00:00,2025-02-11 05:00:00,SPY,bull_put,long,604.52,605.31,16.41,16.02,199.53708612314927,0.05992232912062373,11.956726946441592,14,manage_21dte,0.01490549085975934,NEUTRAL,1.0
2025-02-04 05:00:00,2025-02-13 05:00:00,SPY,bull_put,long,601.78,609.73,17.21,15.1,195.54634440068628,0.2295992602438074,44.89729601777836,9,take_profit,0.03504613677900392,NEUTRAL,1.0
2025-02-11 05:00:00,2025-02-18 05:00:00,SPY,bull_put,long,605.31,611.49,16.02,15.35,195.86529377406438,0.17834466967339208,34.93153111861741,7,take_profit,0.038990180758938495,NEUTRAL,1.0
2025-02-19 05:00:00,2025-02-21 05:00:00,SPY,bull_put,long,612.93,599.94,15.27,18.21,201.37279720480606,-0.3,-60.41183916144182,2,stop_loss,0.05017687156340296,NEUTRAL,1.0
2025-02-26 05:00:00,2025-02-27 05:00:00,SPY,bull_put,long,594.54,585.05,19.1,21.13,200.16456042157722,-0.3,-60.04936812647316,1,stop_loss,0.08767760250156388,NEUTRAL,1.0
2025-03-05 05:00:00,2025-03-06 05:00:00,SPY,bull_put,long,583.06,572.71,21.93,24.87,198.96357305904777,-0.3,-59.68907191771433,1,stop_loss,0.07073158626502041,NEUTRAL,1.0
2025-03-12 04:00:00,2025-03-17 04:00:00,SPY,bull_put,long,558.87,567.15,24.23,20.51,197.7697916206935,0.24714294181006835,48.8774081023024,5,take_profit,0.06396411984126157,NEUTRAL,1.0
2025-03-28 04:00:00,2025-04-02 04:00:00,SPY,bear_call,short,555.66,564.52,21.65,21.51,119.24840386964372,-0.3,-35.774521160893116,5,stop_loss,0.0073151208658691624,NEUTRAL,0.6
2025-05-09 04:00:00,2025-05-12 04:00:00,SPY,bull_put,long,564.34,582.99,21.9,18.39,198.0318493595217,0.3,59.4095548078565,3,take_profit,0.0163226384730977,NEUTRAL,1.0
2025-05-19 04:00:00,2025-05-21 04:00:00,SPY,bull_put,long,594.85,582.86,18.14,20.87,199.22004045567883,-0.3,-59.766012136703644,2,stop_loss,0.018404248096682396,NEUTRAL,1.0
2025-05-27 04:00:00,2025-06-03 04:00:00,SPY,bull_put,long,591.15,596.09,18.96,17.69,198.02472021294474,0.1535631367255642,30.409297185102034,7,take_profit,0.018785555632033796,NEUTRAL,1.0
2025-06-03 04:00:00,2025-06-10 04:00:00,SPY,bull_put,long,596.09,603.08,17.69,16.95,198.63290615664678,0.20109625727658595,39.94433400007299,7,take_profit,0.01141100997670308,NEUTRAL,1.0
2025-06-10 04:00:00,2025-06-20 04:00:00,SPY,bull_put,long,603.08,594.28,16.95,20.62,199.43179283664824,-0.3,-59.82953785099447,10,stop_loss,0.04862063931323683,NEUTRAL,1.0
2025-06-17 04:00:00,2025-06-24 04:00:00,SPY,bull_put,long,597.53,606.78,21.6,17.48,195.44315697991527,0.2659892476807301,51.9857782894345,7,take_profit,0.08160782187740082,NEUTRAL,1.0
2025-06-25 04:00:00,2025-06-27 04:00:00,SPY,bull_put,long,607.12,614.91,16.76,16.32,199.27491764541705,0.19966606931084374,39.78843951850252,2,take_profit,0.06458465487053756,NEUTRAL,1.0
2025-07-02 04:00:00,2025-07-10 04:00:00,SPY,bull_put,long,620.45,625.82,16.64,15.78,200.0706864357871,0.15519084807785302,31.049139503488007,8,take_profit,0.0653615158031883,NEUTRAL,1.0
2025-07-17 04:00:00,2025-07-23 04:00:00,SPY,bull_put,long,628.04,634.21,16.52,15.37,196.67783584133974,0.17209579185823384,33.84742790007909,6,take_profit,0.08404819645096621,NEUTRAL,1.0
2025-07-10 04:00:00,2025-07-23 04:00:00,SPY,bull_put,long,625.82,634.21,15.78,15.37,200.69166922585686,0.23853616183567128,47.87222048953,13,take_profit,0.05598548905063916,NEUTRAL,1.0
2025-07-31 04:00:00,2025-08-01 04:00:00,SPY,bull_put,long,632.08,621.72,16.72,20.38,198.2795409497761,-0.3,-59.483862284932826,1,stop_loss,0.09962109587176406,NEUTRAL,1.0
2025-07-24 04:00:00,2025-08-01 04:00:00,SPY,bull_put,long,634.42,621.72,15.39,20.38,202.32606219364908,-0.3,-60.69781865809472,8,stop_loss,0.08546814442820153,NEUTRAL,1.0
2025-08-07 04:00:00,2025-08-12 04:00:00,SPY,bull_put,long,632.25,642.69,16.57,14.73,199.92242857478854,0.27068381523870605,54.11576571841147,5,take_profit,0.0640426337702129,NEUTRAL,1.0
2025-08-21 04:00:00,2025-08-22 04:00:00,SPY,bull_put,long,635.55,645.31,16.6,14.22,198.5926869624869,0.24040347114206154,47.74237128921068,1,take_profit,0.05840039399537755,NEUTRAL,1.0
2025-08-14 04:00:00,2025-08-28 04:00:00,SPY,bull_put,long,644.95,648.92,14.83,14.43,120.60284633349406,0.13265273897201132,15.998297893958581,14,manage_21dte,0.04179810826234334,NEUTRAL,0.6
2025-09-05 04:00:00,2025-09-11 04:00:00,SPY,bull_put,long,647.24,657.63,15.18,14.71,119.9113215513278,0.26239166924170293,31.463731822831488,6,take_profit,0.05488809112078913,NEUTRAL,0.6
2025-08-28 04:00:00,2025-09-11 04:00:00,SPY,bull_put,long,648.92,657.63,14.43,14.71,121.3677343636921,0.23874392214641574,28.97580892401217,14,take_profit,0.024226178273752536,NEUTRAL,0.6
2025-09-12 04:00:00,2025-09-19 04:00:00,SPY,bull_put,long,657.41,663.7,14.76,15.45,122.09300885265421,0.16170554875173668,19.743116995269094,7,take_profit,0.05716338871480525,NEUTRAL,0.6
